"FID_","ID_seq_num","prov_sale","prov_kill","lat","long_","race_tail","race_tree","bcr"
,"172120645 2004"," ","MB",50.083333,-96.500000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120649 2004"," ","MB",51.016666,-97.400000,"Branta canadensis","Branta canadensis","ERockies"
,"172120650 2004"," ","MB",50.666666,-100.700000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120651 2004"," ","MB",49.866666,-98.400000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120654 2004"," ","MB",50.200000,-97.133333,"Branta canadensis","Branta canadensis","ERockies"
,"172120657 2004"," ","MB",50.800000,-97.083333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120659 2004"," ","MB",49.850000,-97.133333,"Branta canadensis","Branta canadensis","ERockies"
,"172120660 2004"," ","MB",50.216666,-97.183333,"Branta canadensis","Branta canadensis","ERockies"
,"172120661 2004"," ","AB",49.816666,-112.916666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120662 2004"," ","MB",51.716666,-99.033333,"Branta canadensis","Branta canadensis","ERockies"
,"172120663 2004"," ","AB",58.233333,-116.400000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120664 2004"," ","MB",50.966666,-97.316666,"Branta canadensis","Branta canadensis","ERockies"
,"172120666 2004"," ","MB",49.666666,-97.066666,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120668 2004"," ","AB",58.233333,-116.400000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120670 2004"," ","AB",57.400000,-116.866666,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120672 2004"," ","AB",57.016666,-117.450000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120679 2004"," ","AB",57.400000,-116.866666,"Branta canadensis","Branta canadensis","ERockies"
,"172120682 2004"," ","SK",52.000000,-104.933333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120683 2004"," ","MB",49.766666,-99.200000,"Branta canadensis","Branta hutchinsii","ERockies"
,"172120684 2004"," ","SK",52.383333,-106.200000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120686 2004"," ","SK",52.383333,-106.200000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120688 2004"," ","SK",52.383333,-106.200000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120689 2004"," ","SK",52.300000,-106.633333,"Branta hutchinsii","Branta hutchinsii","ERockies"
